id;consent;age;sex;edu;edu_misc;VET;VET_misc;position;position_misc;tenure;industry;BSW1;BSW2;BSW3;BSW4;BSW5;BSW6;JCQ1;JCQ2;JCQ3;JCQ4;JCQ5;JCQ6;JCQ7;JCQ8;JCQ9;JCQ10;JCQ11;JCQ12;JCQ13;JCQ14;JCQ15;neuro;intro;open;agreeable;conscientious;Interviewer
107;1;19;2;4;;1;;1;;0,25;0,25;5;4;2;3;4;2;5;3;3;5;4;2;4;5;5;4;5;5;3;5;5;3;1;5;7;7;RR0516
136;1;27;1;4;;1;;2;;6;6;5;5;2;4;4;2;3;3;3;2;5;3;4;6;6;5;3;2;1;3;6;2;3;4;1;4;SL1215
92;1;28;1;3;;1;;2;;1;1;5;5;4;4;4;1;6;6;5;4;5;2;4;5;5;6;6;5;1;6;6;1;4;4;6;5;SW066
131;1;19;2;3;;1;;1;;0,25;0,25;5;4;1;3;4;1;5;4;5;4;4;5;5;4;6;5;6;6;1;2;5;1;1;6;7;5;ZA0513
75;1;31;1;5;;1;;5;Finanzierungsberater;10;10;4;5;3;4;4;4;4;3;5;5;5;4;5;4;3;3;5;3;4;3;5;2;2;6;6;6;ZB069
631;1;29;1;3;;2;;2;;1;9;3;4;3;3;3;3;3;3;3;3;4;1;2;3;3;3;3;2;1;2;3;4;4;4;5;3;HI023
111;1;34;1;4;;2;;2;;8;11;5;4;1;4;4;1;5;4;5;4;5;4;3;4;2;4;6;4;5;4;5;5;3;7;5;2;HL019
83;1;53;1;4;;2;;5;BAV Spezialist;30;30;5;5;1;5;5;1;5;5;3;5;6;1;5;5;6;6;6;4;5;5;5;1;1;6;7;7;KK1112
158;1;53;1;4;;2;;2;;30;30;5;5;1;5;5;1;5;5;3;6;6;5;5;5;6;6;6;5;5;5;5;1;1;6;7;7;LM0912
76;1;53;1;4;;2;;4;;23;30;5;4;1;4;4;1;4;4;5;5;5;5;5;5;6;5;6;5;5;6;5;1;1;5;6;6;LN0116
79;1;50;1;2;;2;;2;;22;33;5;5;1;4;4;2;4;3;2;3;4;2;3;5;4;3;4;2;3;5;3;1;1;1;5;3;PT0413
158;1;53;1;4;;2;;2;;30;30;5;5;1;5;5;1;5;5;3;6;6;5;5;5;6;6;6;5;5;5;5;1;1;6;7;7;SS0912
82;1;53;1;4;;2;;2;;30;30;5;5;1;5;5;1;5;5;5;5;6;3;5;5;6;6;6;5;3;5;6;1;1;7;7;7;TL094
132;1;25;2;3;;2;;2;;6;6;2;3;3;4;3;4;4;3;4;4;4;3;4;4;3;4;3;4;4;4;4;5;4;5;4;5;UO0416
147;1;36;1;3;;2;;2;;3;8;3;2;3;4;4;4;5;4;4;4;5;4;5;5;5;5;6;6;5;5;5;5;5;5;6;6;WL098
85;1;21;1;3;;3;;2;;0,25;0,25;5;4;2;4;4;1;5;4;5;4;6;4;3;5;4;5;6;6;4;2;5;2;1;5;5;5;AM017
546;1;26;2;2;;3;;2;;0,5;0,5;5;3;2;4;3;1;5;3;4;4;4;3;5;5;6;5;6;5;4;2;5;3;3;4;5;5;AM0413
84;1;26;2;2;;3;;2;;0,3;0,3;5;4;2;4;4;2;5;5;5;5;6;3;5;5;5;5;6;4;3;2;5;2;2;5;6;4;AT0513
112;1;27;2;2;;3;;2;;3;3;5;4;2;4;4;2;6;5;4;5;6;3;5;4;3;3;6;2;2;4;6;3;2;5;4;1;HE011
120;1;24;1;5;;3;;2;;2;2;5;4;2;4;4;1;5;3;5;5;5;2;5;5;5;5;5;5;2;3;5;1;5;4;6;6;LI107
94;1;59;1;3;;3;Indudtriekfm. u. Industriefachwirt;2;;10;10;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;2;4;2;4;4;4;4;4;LX035
77;1;30;1;3;;3;;2;;4;8;5;5;3;5;4;1;6;6;6;5;5;3;5;1;4;1;5;5;1;6;6;2;1;5;6;6;ZR019
204;1;24;2;4;;5;;2;;1;1;5;4;2;4;3;1;4;4;4;4;3;3;1;1;4;3;4;3;1;3;3;2;4;5;6;6;AA038
78;1;53;2;4;;5;;2;;17;17;5;5;2;3;4;1;4;3;4;3;3;1;4;4;3;3;4;3;3;3;3;4;2;6;6;5;GR105
123;1;28;1;3;;5;;2;;1;1;4;5;1;3;4;1;6;4;6;5;3;2;2;2;6;6;6;5;1;5;5;3;2;7;7;5;PA078
729;1;33;1;3;;5;;2;;1;1;5;4;3;4;5;5;5;5;5;4;6;4;4;6;6;5;5;4;1;1;5;4;3;7;7;5;WT0710
